Tempo;Carga compressiva
(sec);(N)
0;0
0,1;0
0,2;0
0,3;0
0,4;0
0,5;0
0,6;0
0,7;0
0,8;0
0,9;0
1;0
1,1;0
1,2;0
1,3;0
1,4;0
1,5;0
1,6;0
1,7;0
1,8;0,001
1,822;0,028
1,832;0,056
1,84;0,084
1,848;0,116
1,854;0,141
1,86;0,168
1,866;0,199
1,872;0,232
1,878;0,269
1,882;0,294
1,886;0,32
1,89;0,345
1,896;0,382
1,902;0,417
1,908;0,449
1,914;0,477
1,92;0,502
1,928;0,531
1,936;0,559
1,944;0,588
1,95;0,613
1,956;0,643
1,962;0,678
1,966;0,704
1,97;0,732
1,974;0,762
1,978;0,793
1,982;0,825
1,986;0,859
1,99;0,892
1,994;0,927
1,998;0,962
2,002;0,997
2,006;1,032
2,01;1,068
2,014;1,103
2,018;1,138
2,022;1,173
2,026;1,207
2,03;1,239
2,034;1,27
2,038;1,3
2,042;1,328
2,046;1,355
2,05;1,38
2,056;1,415
2,062;1,448
2,068;1,479
2,074;1,508
2,08;1,536
2,086;1,565
2,092;1,596
2,098;1,63
2,104;1,667
2,108;1,695
2,112;1,723
2,116;1,754
2,12;1,785
2,124;1,817
2,128;1,849
2,132;1,882
2,136;1,915
2,14;1,946
2,144;1,976
2,148;2,005
2,152;2,031
2,158;2,065
2,164;2,094
2,172;2,123
2,182;2,151
2,192;2,182
2,2;2,215
2,206;2,244
2,212;2,275
2,218;2,306
2,224;2,337
2,23;2,367
2,236;2,394
2,242;2,419
2,25;2,45
2,258;2,479
2,266;2,506
2,274;2,535
2,282;2,569
2,288;2,598
2,294;2,629
2,3;2,662
2,306;2,695
2,312;2,726
2,318;2,756
2,324;2,784
2,33;2,811
2,336;2,837
2,342;2,862
2,35;2,893
2,358;2,921
2,366;2,947
2,374;2,973
2,382;3
2,39;3,029
2,398;3,06
2,406;3,091
2,414;3,121
2,422;3,147
2,434;3,175
2,452;3,203
2,464;3,232
2,472;3,261
2,478;3,287
2,484;3,315
2,49;3,345
2,496;3,373
2,502;3,4
2,51;3,432
2,518;3,459
2,526;3,484
2,534;3,512
2,542;3,542
2,548;3,567
2,554;3,595
2,56;3,623
2,566;3,653
2,572;3,68
2,58;3,712
2,59;3,739
2,612;3,765
2,628;3,794
2,638;3,821
2,648;3,85
2,658;3,877
2,67;3,907
2,682;3,932
2,696;3,96
2,71;3,986
2,728;4,011
2,758;4,037
2,782;4,063
2,808;4,089
2,876;4,116
2,894;4,144
2,912;4,171
2,932;4,197
2,948;4,226
2,96;4,251
2,972;4,277
2,984;4,302
2,998;4,328
3,016;4,355
3,034;4,38
3,046;4,405
3,056;4,431
3,066;4,459
3,076;4,488
3,086;4,513
3,1;4,541
3,12;4,568
3,142;4,593
3,158;4,621
3,17;4,646
3,182;4,672
3,194;4,699
3,204;4,724
3,214;4,75
3,226;4,78
3,238;4,807
3,252;4,835
3,27;4,862
3,306;4,889
3,324;4,915
3,344;4,943
3,358;4,968
3,368;4,999
3,376;5,03
3,384;5,062
3,392;5,089
3,404;5,116
3,442;5,089
3,482;5,114
3,498;5,142
3,518;5,169
3,54;5,194
3,554;5,222
3,566;5,25
3,578;5,278
3,59;5,304
3,604;5,332
3,616;5,357
3,628;5,383
3,644;5,41
3,68;5,437
3,694;5,466
3,704;5,494
3,712;5,52
3,72;5,548
3,728;5,579
3,736;5,61
3,744;5,64
3,752;5,666
3,762;5,693
3,776;5,718
3,79;5,747
3,8;5,774
3,808;5,8
3,816;5,827
3,824;5,857
3,832;5,886
3,84;5,914
3,85;5,945
3,86;5,971
3,872;5,997
3,888;6,022
3,91;6,048
3,928;6,076
3,94;6,101
3,95;6,128
3,96;6,159
3,968;6,186
3,976;6,213
3,984;6,241
3,992;6,267
4;6,292
4,01;6,321
4,022;6,35
4,034;6,376
4,046;6,404
4,056;6,429
4,066;6,456
4,078;6,485
4,092;6,513
4,138;6,486
4,152;6,46
4,186;6,433
4,204;6,407
4,226;6,382
4,308;6,408
4,326;6,435
4,346;6,46
4,362;6,486
4,44;6,512
4,46;6,538
4,476;6,564
4,49;6,59
4,504;6,615
4,604;6,603
4,662;6,629
4,732;6,603
4,766;6,629
4,798;6,654
4,838;6,68
4,85;6,706
4,86;6,731
4,872;6,756
4,922;6,73
4,932;6,704
4,942;6,677
4,954;6,649
5,002;6,677
5,016;6,706
5,032;6,732
5,132;6,748
5,148;6,774
5,196;6,749
5,268;6,775
5,306;6,802
5,318;6,827
5,328;6,854
5,338;6,883
5,348;6,909
5,372;6,934
5,404;6,961
5,416;6,989
5,426;7,017
5,436;7,047
5,446;7,078
5,456;7,107
5,466;7,132
5,486;7,158
5,512;7,131
5,53;7,105
5,562;7,133
5,58;7,161
5,606;7,187
5,622;7,216
5,632;7,244
5,64;7,272
5,648;7,3
5,658;7,33
5,67;7,357
5,69;7,383
5,712;7,411
5,728;7,437
5,756;7,464
5,784;7,489
5,806;7,515
5,828;7,541
5,844;7,57
5,856;7,597
5,868;7,624
5,952;7,652
5,962;7,681
5,97;7,707
5,978;7,732
5,988;7,758
6,006;7,784
6,048;7,809
6,14;7,835
6,236;7,861
6,25;7,888
6,3;7,862
6,32;7,836
6,334;7,808
6,344;7,779
6,354;7,748
6,364;7,722
6,422;7,749
6,436;7,776
6,454;7,803
6,554;7,814
6,574;7,786
6,59;7,759
6,64;7,732
6,686;7,758
6,744;7,786
6,756;7,812
6,766;7,84
6,778;7,869
6,822;7,894
6,852;7,922
6,872;7,949
6,956;7,976
6,966;8,002
6,978;8,031
7,016;8,057
7,036;8,082
7,054;8,107
7,114;8,133
7,214;8,126
7,248;8,151
7,26;8,177
7,272;8,203
7,284;8,231
7,296;8,26
7,312;8,286
7,334;8,258
7,342;8,23
7,35;8,198
7,356;8,172
7,362;8,145
7,368;8,12
7,376;8,091
7,386;8,062
7,402;8,036
7,42;8,01
7,436;7,981
7,454;7,955
7,554;7,928
7,572;7,899
7,584;7,872
7,594;7,841
7,6;7,816
7,606;7,782
7,61;7,754
7,614;7,721
7,618;7,682
7,622;7,635
7,624;7,609
7,626;7,58
7,628;7,55
7,63;7,517
7,632;7,482
7,634;7,445
7,636;7,405
7,638;7,362
7,64;7,317
7,642;7,268
7,644;7,218
7,646;7,164
7,648;7,108
7,65;7,049
7,652;6,987
