tempo,tensao,forca
0.5,0.000000,0.000000
0.7,0.000000,0.000000
0.8,0.000000,0.000000
0.9,0.000000,0.000000
1.0,0.000000,0.000000
1.1,0.000000,0.000000
1.2,0.000000,0.000000
1.3,0.000000,0.000000
1.4,0.000000,0.000000
1.5,0.000000,0.000000
1.7,0.000000,0.000000
1.8,0.000000,0.000000
1.9,0.000000,0.000000
2.0,0.000000,0.000000
2.2,0.000000,0.000000
2.3,0.000000,0.000000
2.4,0.000000,0.000000
2.5,0.000000,0.000000
2.7,0.000000,0.000000
2.8,0.000000,0.000000
2.9,0.000000,0.000000
3.0,0.000000,0.000000
3.2,0.000000,0.000000
3.3,0.000000,0.000000
3.4,0.000000,0.000000
3.5,0.000000,0.000000
3.6,0.000000,0.000000
3.7,0.000000,0.000000
3.8,0.000000,0.000000
3.9,0.000000,0.000000
4.1,0.000000,0.000000
4.2,0.000000,0.000000
4.3,0.000000,0.000000
4.5,0.000000,0.000000
4.6,0.000000,0.000000
4.7,0.000000,0.000000
4.8,0.000000,0.000000
4.9,0.000000,0.000000
5.0,0.000000,0.000000
5.1,0.000000,0.000000
5.3,0.000000,0.000000
5.4,0.000000,0.000000
5.5,0.000000,0.000000
5.6,0.000000,0.000000
5.7,0.000000,0.000000
5.8,0.000000,0.000000
5.9,0.000000,0.000000
6.0,0.000000,0.000000
6.1,0.000000,0.000000
6.3,0.000000,0.000000
6.4,0.000000,0.000000
6.6,0.000000,0.000000
6.7,0.000000,0.000000
6.8,0.000000,0.000000
6.9,0.000000,0.000000
7.1,0.000000,0.000000
7.2,0.000000,0.000000
7.3,0.000000,0.000000
7.4,0.000000,0.000000
7.6,0.000000,0.000000
7.7,0.000000,0.000000
7.8,0.000000,0.000000
7.9,0.000000,0.000000
8.0,0.000000,0.000000
8.1,0.130000,0.000000
8.2,0.270000,0.000000
8.3,0.687500,0.000000
8.4,0.916875,0.000000
8.6,1.126719,0.000000
8.7,1.319180,0.000000
8.8,1.434795,0.000000
8.9,1.472397,0.027000
9.0,1.538099,0.161857
9.1,1.574525,0.308000
9.2,1.618631,0.398667
9.3,1.649658,0.653067
9.4,1.679829,1.221000
9.6,1.719957,2.138083
9.7,1.747489,2.649409
9.8,1.761872,3.318765
9.9,1.787968,3.808625
10.1,1.814492,4.671312
10.2,1.836123,4.865200
