tempo,tensao,forca
1.3,0.000000,0.000000
1.4,0.000000,0.000000
1.6,0.000000,0.000000
1.7,0.000000,0.000000
1.9,0.000000,0.000000
2.0,0.000000,0.000000
2.1,0.000000,0.000000
2.2,0.000000,0.000000
2.3,0.000000,0.000000
2.5,0.000000,0.000000
2.6,0.000000,0.000000
2.7,0.000000,0.000000
2.8,0.000000,0.000000
3.0,0.000000,0.000000
3.1,0.000000,0.000000
3.2,0.000000,0.000000
3.3,0.000000,0.000000
3.4,0.000000,0.000000
3.5,0.000000,0.000000
3.6,0.000000,0.000000
3.7,0.000000,0.000000
3.8,0.000000,0.000000
3.9,0.000000,0.000000
4.1,0.000000,0.000000
4.2,0.000000,0.000000
4.3,0.000000,0.000000
4.4,0.000000,0.000000
4.5,0.000000,0.000000
4.6,0.000000,0.000000
4.7,0.000000,0.000000
4.8,0.275000,0.000000
4.9,0.673750,0.000000
5.1,0.973437,0.082750
5.2,1.555859,0.217167
5.4,1.308965,0.350000
5.5,1.308965,0.348000
5.6,0.261121,0.330000
5.7,0.065280,0.389714
5.8,0.423820,0.393000
5.9,1.482978,0.291429
6.1,1.758244,0.177000
6.2,1.969561,0.207000
6.3,2.162390,0.257667
6.5,2.231195,0.386000
6.6,2.165299,0.403000
6.7,2.221325,0.427000
6.8,2.090331,0.402000
6.9,1.915083,0.439500
7.0,1.797541,0.461000
7.1,1.781885,0.422000
7.2,1.760471,0.434000
7.3,1.660236,0.396500
7.5,1.921279,0.352000
7.6,2.050320,0.352000
7.7,2.060160,0.326000
7.8,2.005040,0.351000
7.9,1.952520,0.351500
8.0,1.866260,0.390000
8.1,1.684065,0.409000
8.2,1.533516,0.394000
8.3,0.998379,0.366000
8.4,0.249595,0.314000
8.6,0.062399,0.292000
8.7,0.527800,0.291000
8.9,1.649450,0.227000
9.0,1.904725,0.189000
9.1,2.063681,0.167000
9.2,2.105920,0.188000
9.3,2.148980,0.268600
9.4,2.207245,0.391250
9.6,2.194656,0.420000
9.7,2.191164,0.406000
9.8,2.095582,0.411000
10.0,1.523895,0.430000
10.1,0.648474,0.405000
10.2,0.324237,0.412500
10.3,0.081059,0.385000
10.5,0.897632,0.281000
10.6,1.433816,0.243500
10.7,2.095477,0.214000
10.8,2.006369,0.205000
10.9,1.369092,0.221000
11.1,1.144773,0.388500
11.2,1.211193,0.427000
11.3,1.505298,0.390000
11.4,1.687649,0.326000
11.5,1.873825,0.275000
11.6,2.085956,0.255000
11.7,2.142978,0.251000
11.8,2.084122,0.289500
12.0,1.943531,0.392500
12.1,1.858383,0.431000
12.2,1.966048,0.413000
12.4,1.993024,0.347000
12.5,1.968256,0.325000
12.6,1.984564,0.334000
12.7,1.947282,0.333000
12.8,1.771820,0.359000
13.0,1.852955,0.355000
13.1,1.977869,0.342000
13.2,1.979467,0.321000
13.3,1.237367,0.296000
13.5,0.309342,0.360000
13.6,0.214835,0.362000
13.7,0.083709,0.350000
13.8,0.680927,0.312333
13.9,1.155464,0.218250
14.0,1.537732,0.187000
14.1,1.904433,0.211000
14.2,1.962216,0.186000
14.3,2.033054,0.211000
14.5,2.050764,0.341333
14.6,1.962691,0.405500
14.7,1.805673,0.396000
14.8,1.799459,0.393000
14.9,1.799459,0.394000
15.0,1.854865,0.382000
15.1,1.963716,0.356000
15.2,1.981858,0.317500
15.3,2.090465,0.300000
15.5,2.350116,0.312000
15.6,2.545029,0.337000
15.7,2.601879,0.363000
15.9,2.642970,0.488000
16.0,2.666485,0.626000
16.1,2.699121,0.692000
16.2,2.734780,0.701000
16.3,2.749348,0.681000
16.4,2.769674,0.719500
16.6,2.784918,0.785000
16.7,2.766230,0.798500
16.8,2.759057,0.785000
17.0,2.782264,0.807000
17.1,2.798066,0.792000
17.2,2.819517,0.754500
17.3,2.852379,0.716000
17.5,2.900297,0.740000
17.6,2.935074,0.779500
17.7,2.937537,0.844667
17.8,2.964384,0.909000
17.9,2.983596,0.948000
18.1,2.993399,1.051000
18.2,3.010850,1.089000
18.3,3.020425,1.140500
18.4,3.025212,1.179000
18.5,3.056303,1.191000
18.6,3.081576,1.191000
18.7,3.082894,1.242667
18.8,3.085723,1.320000
19.0,3.081431,1.478000
19.1,3.080715,1.517000
19.2,3.091339,1.465500
19.4,3.102835,1.427000
19.5,3.115709,1.405000
19.6,3.118927,1.402500
19.7,3.112232,1.441000
19.8,3.118058,1.479000
19.9,3.122014,1.530000
20.1,3.134002,1.574000
20.2,3.132001,1.548000
20.3,3.136000,1.544000
20.5,3.136500,1.580000
20.6,3.133250,1.618000
20.7,3.127906,1.669500
20.8,3.132238,1.721000
20.9,3.138060,1.725000
21.0,3.138060,1.671333
21.1,3.134515,1.607000
21.2,3.126129,1.569000
21.3,3.134032,1.585500
21.5,3.136008,1.635000
21.6,3.138004,1.595000
21.7,3.142001,1.582000
21.8,3.145500,1.608000
21.9,3.152750,1.659333
22.0,3.155688,1.691000
22.1,3.138922,1.665000
22.2,3.139461,1.680000
22.3,3.142365,1.718500
22.4,3.137796,1.771000
22.6,3.146949,1.683500
22.7,3.154237,1.591000
22.9,3.152119,1.579000
23.0,3.151059,1.587000
23.1,3.153882,1.625500
23.2,3.158471,1.666000
23.3,3.154618,1.673000
23.5,3.153654,1.749000
23.6,3.156707,1.727500
23.7,3.149177,1.702000
23.8,3.149794,1.713000
24.0,3.152449,1.721000
24.1,3.161224,1.711000
24.2,3.157806,1.700000
24.3,3.171952,1.687000
24.5,3.177744,1.699000
24.6,3.179436,1.724000
24.7,3.179718,1.788750
24.8,3.184929,1.879000
25.0,3.181232,1.949000
25.1,3.200308,1.975000
25.2,3.205077,2.002000
25.3,3.207539,2.014000
25.4,3.207539,2.053500
25.5,3.210942,2.118667
25.6,3.210236,2.234833
25.7,3.210059,2.368250
25.9,3.207507,2.382500
26.1,3.209377,2.244000
26.2,3.219961,2.255000
26.4,3.212490,2.311000
26.5,3.213123,2.285000
26.6,3.213123,2.264000
26.7,3.211561,2.226500
26.8,3.215098,2.189000
