Deformação : Distância inicial Axial (Fonte de Deformação);"-19,994";mm
Dimensão : Altura da bigorna;"20,000";mm
Dimensão : Área;"304,805";mm^2
Máximo Esforço à compressiva : Carga compressivaemMáximo Esforço à compressiva;"4,951";N
Máximo Esforço à compressiva : Deformaçao compressivaemMáximo Esforço à compressiva;"2,187";%
Máximo Esforço à compressiva : EnergiaemMáximo Esforço à compressiva;"0,001";J
Máximo Esforço à compressiva : Máximo Esforço à compressiva;"0,016";MPa
Máximo Esforço à compressiva : Extensão compressivaemMáximo Esforço à compressiva;"0,437";mm
Máximo Esforço à compressiva : TempoemMáximo Esforço à compressiva;"26,26000";sec
Máximo Extensão compressiva : Carga compressivaemMáximo Extensão compressiva;"0,000";N
Máximo Extensão compressiva : Deformaçao compressivaemMáximo Extensão compressiva;"2,923";%
Máximo Extensão compressiva : EnergiaemMáximo Extensão compressiva;"0,001";J
Máximo Extensão compressiva : Máximo Extensão compressiva;"0,584";mm
Máximo Extensão compressiva : TempoemMáximo Extensão compressiva;"35,08400";sec
Módulo (Automático) : Módulo (Automático);"7,943";MPa

Tempo;Extensão;Carga;Deformaçao compressiva;Esforço à compressiva;Extensão compressiva;Carga compressiva
(sec);(mm);(N);(mm/mm);(MPa);(mm);(N)
"0,00000";"-0,00579";"0,00009";"0,000";"0,000";"0,000";"0,000"
"0,10000";"-0,00621";"0,00011";"0,000";"0,000";"0,000";"0,000"
"0,20000";"-0,00862";"0,00019";"0,000";"0,000";"0,003";"0,000"
"0,30000";"-0,01082";"0,00017";"0,000";"0,000";"0,005";"0,000"
"0,40000";"-0,01243";"0,00021";"0,000";"0,000";"0,006";"0,000"
"0,50000";"-0,01404";"0,00017";"0,000";"0,000";"0,008";"0,000"
"0,60000";"-0,01575";"0,00014";"0,000";"0,000";"0,010";"0,000"
"0,70000";"-0,01752";"0,00005";"0,001";"0,000";"0,011";"0,000"
"0,80000";"-0,01912";"0,00011";"0,001";"0,000";"0,013";"0,000"
"0,90000";"-0,02084";"0,00001";"0,001";"0,000";"0,015";"0,000"
"1,00000";"-0,02250";"0,00010";"0,001";"0,000";"0,016";"0,000"
"1,10000";"-0,02400";"0,00004";"0,001";"0,000";"0,018";"0,000"
"1,20000";"-0,02571";"0,00018";"0,001";"0,000";"0,020";"0,000"
"1,30000";"-0,02754";"0,00020";"0,001";"0,000";"0,021";"0,000"
"1,40000";"-0,02904";"0,00023";"0,001";"0,000";"0,023";"0,000"
"1,50000";"-0,03080";"0,00023";"0,001";"0,000";"0,025";"0,000"
"1,60000";"-0,03252";"0,00029";"0,001";"0,000";"0,026";"0,000"
"1,70000";"-0,03396";"0,00021";"0,001";"0,000";"0,028";"0,000"
"1,80000";"-0,03573";"0,00014";"0,001";"0,000";"0,030";"0,000"
"1,90000";"-0,03750";"0,00013";"0,002";"0,000";"0,031";"0,000"
"2,00000";"-0,03905";"0,00004";"0,002";"0,000";"0,033";"0,000"
"2,10000";"-0,04082";"0,00006";"0,002";"0,000";"0,035";"0,000"
"2,20000";"-0,04254";"0,00015";"0,002";"0,000";"0,036";"0,000"
"2,30000";"-0,04404";"0,00023";"0,002";"0,000";"0,038";"0,000"
"2,40000";"-0,04570";"0,00024";"0,002";"0,000";"0,040";"0,000"
"2,50000";"-0,04752";"0,00025";"0,002";"0,000";"0,041";"0,000"
"2,60000";"-0,04907";"0,00023";"0,002";"0,000";"0,043";"0,000"
"2,70000";"-0,05079";"0,00023";"0,002";"0,000";"0,045";"0,000"
"2,80000";"-0,05261";"0,00011";"0,002";"0,000";"0,046";"0,000"
"2,90000";"-0,05405";"0,00015";"0,002";"0,000";"0,048";"0,000"
"3,00000";"-0,05571";"0,00016";"0,002";"0,000";"0,050";"0,000"
"3,10000";"-0,05748";"0,00012";"0,003";"0,000";"0,051";"0,000"
"3,20000";"-0,05914";"0,00019";"0,003";"0,000";"0,053";"0,000"
"3,30000";"-0,06075";"0,00013";"0,003";"0,000";"0,055";"0,000"
"3,40000";"-0,06262";"0,00019";"0,003";"0,000";"0,057";"0,000"
"3,50000";"-0,06402";"0,00023";"0,003";"0,000";"0,058";"0,000"
"3,60000";"-0,06573";"0,00018";"0,003";"0,000";"0,060";"0,000"
"3,70000";"-0,06745";"0,00022";"0,003";"0,000";"0,061";"0,000"
"3,80000";"-0,06916";"0,00022";"0,003";"0,000";"0,063";"0,000"
"3,90000";"-0,07077";"0,00017";"0,003";"0,000";"0,065";"0,000"
"4,00000";"-0,07259";"0,00013";"0,003";"0,000";"0,066";"0,000"
"4,10000";"-0,07409";"0,00008";"0,003";"0,000";"0,068";"0,000"
"4,20000";"-0,07575";"0,00012";"0,003";"0,000";"0,070";"0,000"
"4,30000";"-0,07741";"0,00015";"0,004";"0,000";"0,071";"0,000"
"4,40000";"-0,07912";"0,00020";"0,004";"0,000";"0,073";"0,000"
"4,50000";"-0,08079";"0,00022";"0,004";"0,000";"0,075";"0,000"
"4,60000";"-0,08261";"0,00014";"0,004";"0,000";"0,076";"0,000"
"4,70000";"-0,08411";"0,00025";"0,004";"0,000";"0,078";"0,000"
"4,80000";"-0,08571";"0,00020";"0,004";"0,000";"0,080";"0,000"
"4,90000";"-0,08743";"0,00021";"0,004";"0,000";"0,081";"0,000"
"5,00000";"-0,08914";"0,00012";"0,004";"0,000";"0,083";"0,000"
"5,10000";"-0,09075";"0,00007";"0,004";"0,000";"0,085";"0,000"
"5,20000";"-0,09252";"0,00015";"0,004";"0,000";"0,086";"0,000"
"5,30000";"-0,09412";"0,00019";"0,004";"0,000";"0,088";"0,000"
"5,40000";"-0,09568";"0,00013";"0,004";"0,000";"0,090";"0,000"
"5,50000";"-0,09745";"0,00020";"0,005";"0,000";"0,091";"0,000"
"5,60000";"-0,09916";"0,00018";"0,005";"0,000";"0,093";"0,000"
"5,70000";"-0,10071";"0,00025";"0,005";"0,000";"0,095";"0,000"
"5,80000";"-0,10248";"0,00022";"0,005";"0,000";"0,096";"0,000"
"5,90000";"-0,10414";"0,00026";"0,005";"0,000";"0,098";"0,000"
"6,00000";"-0,10570";"0,00020";"0,005";"0,000";"0,100";"0,000"
"6,10000";"-0,10741";"0,00017";"0,005";"0,000";"0,101";"0,000"
"6,20000";"-0,10912";"0,00014";"0,005";"0,000";"0,103";"0,000"
"6,30000";"-0,11073";"0,00008";"0,005";"0,000";"0,105";"0,000"
"6,40000";"-0,11250";"0,00011";"0,005";"0,000";"0,106";"0,000"
"6,50000";"-0,11416";"0,00015";"0,005";"0,000";"0,108";"0,000"
"6,60000";"-0,11571";"0,00013";"0,005";"0,000";"0,110";"0,000"
"6,70000";"-0,11737";"0,00023";"0,006";"0,000";"0,111";"0,000"
"6,80000";"-0,11914";"0,00028";"0,006";"0,000";"0,113";"0,000"
"6,90000";"-0,12075";"0,00023";"0,006";"0,000";"0,115";"0,000"
"7,00000";"-0,12246";"0,00034";"0,006";"0,000";"0,116";"0,000"
"7,10000";"-0,12423";"0,00029";"0,006";"0,000";"0,118";"0,000"
"7,20000";"-0,12568";"0,00011";"0,006";"0,000";"0,120";"0,000"
"7,30000";"-0,12739";"0,00020";"0,006";"0,000";"0,121";"0,000"
"7,40000";"-0,12916";"0,00008";"0,006";"0,000";"0,123";"0,000"
"7,50000";"-0,13077";"-0,00011";"0,006";"0,000";"0,125";"0,000"
"7,60000";"-0,13243";"-0,00038";"0,006";"0,000";"0,126";"0,000"
"7,70000";"-0,13425";"0,00027";"0,006";"0,000";"0,128";"0,000"
"7,80000";"-0,13570";"0,00019";"0,006";"0,000";"0,130";"0,000"
"7,90000";"-0,13741";"0,00019";"0,007";"0,000";"0,131";"0,000"
"8,00000";"-0,13912";"0,00033";"0,007";"0,000";"0,133";"0,000"
