Deformação : Distância inicial Axial (Fonte de Deformação);"-19,999";mm
Dimensão : Altura da bigorna;"20,000";mm
Dimensão : Área;"304,805";mm^2
Máximo Esforço à compressiva : Carga compressivaemMáximo Esforço à compressiva;"4,686";N
Máximo Esforço à compressiva : Deformaçao compressivaemMáximo Esforço à compressiva;"3,861";%
Máximo Esforço à compressiva : EnergiaemMáximo Esforço à compressiva;"0,001";J
Máximo Esforço à compressiva : Máximo Esforço à compressiva;"0,015";MPa
Máximo Esforço à compressiva : Extensão compressivaemMáximo Esforço à compressiva;"0,772";mm
Máximo Esforço à compressiva : TempoemMáximo Esforço à compressiva;"46,33000";sec
Máximo Extensão compressiva : Carga compressivaemMáximo Extensão compressiva;"0,000";N
Máximo Extensão compressiva : Deformaçao compressivaemMáximo Extensão compressiva;"6,813";%
Máximo Extensão compressiva : EnergiaemMáximo Extensão compressiva;"0,002";J
Máximo Extensão compressiva : Máximo Extensão compressiva;"1,362";mm
Máximo Extensão compressiva : TempoemMáximo Extensão compressiva;"81,74800";sec
Módulo (Automático) : Módulo (Automático);"3,074";MPa

Tempo;Extensão;Carga;Deformaçao compressiva;Esforço à compressiva;Extensão compressiva;Carga compressiva
(sec);(mm);(N);(mm/mm);(MPa);(mm);(N)
"0,00000";"-0,00118";"0,00023";"0,000";"0,000";"0,000";"0,000"
"0,10000";"-0,00193";"0,00009";"0,000";"0,000";"0,001";"0,000"
"0,20000";"-0,00434";"0,00008";"0,000";"0,000";"0,003";"0,000"
"0,30000";"-0,00621";"0,00027";"0,000";"0,000";"0,005";"0,000"
"0,40000";"-0,00793";"0,00009";"0,000";"0,000";"0,007";"0,000"
"0,50000";"-0,00954";"0,00020";"0,000";"0,000";"0,008";"0,000"
"0,60000";"-0,01136";"0,00037";"0,001";"0,000";"0,010";"0,000"
"0,70000";"-0,01286";"0,00013";"0,001";"0,000";"0,012";"0,000"
"0,80000";"-0,01452";"0,00032";"0,001";"0,000";"0,013";"0,000"
"0,90000";"-0,01623";"0,00018";"0,001";"0,000";"0,015";"0,000"
"1,00000";"-0,01789";"0,00031";"0,001";"0,000";"0,017";"0,000"
"1,10000";"-0,01955";"0,00032";"0,001";"0,000";"0,018";"0,000"
"1,20000";"-0,02132";"0,00017";"0,001";"0,000";"0,020";"0,000"
"1,30000";"-0,02287";"0,00010";"0,001";"0,000";"0,022";"0,000"
"1,40000";"-0,02448";"0,00009";"0,001";"0,000";"0,023";"0,000"
"1,50000";"-0,02620";"0,00018";"0,001";"0,000";"0,025";"0,000"
"1,60000";"-0,02791";"0,00022";"0,001";"0,000";"0,027";"0,000"
"1,70000";"-0,02952";"0,00003";"0,001";"0,000";"0,028";"0,000"
"1,80000";"-0,03134";"0,00014";"0,002";"0,000";"0,030";"0,000"
"1,90000";"-0,03289";"0,00011";"0,002";"0,000";"0,032";"0,000"
"2,00000";"-0,03445";"0,00029";"0,002";"0,000";"0,033";"0,000"
"2,10000";"-0,03621";"0,00025";"0,002";"0,000";"0,035";"0,000"
"2,20000";"-0,03793";"0,00037";"0,002";"0,000";"0,037";"0,000"
"2,30000";"-0,03948";"0,00015";"0,002";"0,000";"0,038";"0,000"
"2,40000";"-0,04136";"0,00024";"0,002";"0,000";"0,040";"0,000"
"2,50000";"-0,04291";"0,00021";"0,002";"0,000";"0,042";"0,000"
"2,60000";"-0,04446";"0,00011";"0,002";"0,000";"0,043";"0,000"
"2,70000";"-0,04618";"0,00028";"0,002";"0,000";"0,045";"0,000"
"2,80000";"-0,04795";"0,00024";"0,002";"0,000";"0,047";"0,000"
"2,90000";"-0,04950";"0,00025";"0,002";"0,000";"0,048";"0,000"
"3,00000";"-0,05127";"0,00013";"0,002";"0,000";"0,050";"0,000"
"3,10000";"-0,05293";"0,00009";"0,003";"0,000";"0,052";"0,000"
"3,20000";"-0,05448";"0,00017";"0,003";"0,000";"0,053";"0,000"
"3,30000";"-0,05614";"0,00015";"0,003";"0,000";"0,055";"0,000"
"3,40000";"-0,05796";"0,00030";"0,003";"0,000";"0,057";"0,000"
"3,50000";"-0,05952";"-0,00001";"0,003";"0,000";"0,058";"0,000"
"3,60000";"-0,06123";"0,00007";"0,003";"0,000";"0,060";"0,000"
"3,70000";"-0,06300";"0,00006";"0,003";"0,000";"0,062";"0,000"
"3,80000";"-0,06445";"0,00009";"0,003";"0,000";"0,063";"0,000"
"3,90000";"-0,06616";"0,00018";"0,003";"0,000";"0,065";"0,000"
"4,00000";"-0,06793";"0,00022";"0,003";"0,000";"0,067";"0,000"
"4,10000";"-0,06959";"0,00013";"0,003";"0,000";"0,068";"0,000"
"4,20000";"-0,07125";"0,00003";"0,003";"0,000";"0,070";"0,000"
"4,30000";"-0,07302";"0,00040";"0,004";"0,000";"0,072";"0,000"
"4,40000";"-0,07446";"0,00026";"0,004";"0,000";"0,073";"0,000"
"4,50000";"-0,07618";"0,00027";"0,004";"0,000";"0,075";"0,000"
"4,60000";"-0,07789";"0,00022";"0,004";"0,000";"0,077";"0,000"
"4,70000";"-0,07955";"0,00014";"0,004";"0,000";"0,078";"0,000"
"4,80000";"-0,08121";"0,00001";"0,004";"0,000";"0,080";"0,000"
"4,90000";"-0,08304";"0,00006";"0,004";"0,000";"0,082";"0,000"
"5,00000";"-0,08448";"-0,01847";"0,004";"0,000";"0,083";"0,018"
"5,05200";"-0,08534";"-0,04373";"0,004";"0,000";"0,084";"0,044"
"5,07200";"-0,08566";"-0,06930";"0,004";"0,000";"0,084";"0,069"
"5,08800";"-0,08593";"-0,09551";"0,004";"0,000";"0,085";"0,096"
"5,11000";"-0,08630";"-0,12166";"0,004";"0,000";"0,085";"0,122"
"5,16000";"-0,08716";"-0,14830";"0,004";"0,000";"0,086";"0,148"
"5,17200";"-0,08737";"-0,17619";"0,004";"0,001";"0,086";"0,176"
"5,18200";"-0,08754";"-0,20494";"0,004";"0,001";"0,086";"0,205"
"5,19200";"-0,08775";"-0,23219";"0,004";"0,001";"0,086";"0,232"
"5,20600";"-0,08802";"-0,25794";"0,004";"0,001";"0,087";"0,258"
"5,25000";"-0,08877";"-0,28377";"0,004";"0,001";"0,087";"0,284"
"5,32600";"-0,09000";"-0,30940";"0,004";"0,001";"0,089";"0,309"
"5,40600";"-0,09134";"-0,33743";"0,005";"0,001";"0,090";"0,337"
"5,42400";"-0,09166";"-0,36347";"0,005";"0,001";"0,090";"0,363"
"5,45200";"-0,09214";"-0,38866";"0,005";"0,001";"0,091";"0,389"
"5,48000";"-0,09268";"-0,36168";"0,005";"0,001";"0,091";"0,362"
"5,49200";"-0,09289";"-0,33430";"0,005";"0,001";"0,092";"0,334"
"5,50600";"-0,09316";"-0,30696";"0,005";"0,001";"0,092";"0,307"
"5,60600";"-0,09461";"-0,33028";"0,005";"0,001";"0,093";"0,330"
"5,66000";"-0,09546";"-0,35703";"0,005";"0,001";"0,094";"0,357"
"5,67000";"-0,09562";"-0,38302";"0,005";"0,001";"0,094";"0,383"
"5,68000";"-0,09579";"-0,40978";"0,005";"0,001";"0,094";"0,410"
