tempo,forca
0.000,0.000000
0.100,0.000000
0.200,0.000000
0.300,0.000000
0.400,0.000000
0.500,0.000000
0.600,0.000000
0.700,0.000000
0.800,0.000000
0.900,0.000000
1.000,0.000000
1.100,0.000000
1.200,0.000000
1.300,0.000000
1.400,0.000000
1.500,0.000000
1.600,0.000000
1.700,0.000000
1.800,0.000000
1.900,0.000000
2.000,0.000000
2.100,0.000000
2.200,0.000000
2.300,0.000000
2.400,0.000000
2.500,0.000000
2.600,0.000000
2.700,0.000000
2.800,0.000000
2.900,0.000000
3.000,0.000000
3.100,0.000000
3.200,0.000000
3.300,0.000000
3.400,0.000000
3.500,0.000000
3.600,0.000000
3.700,0.000000
3.800,0.000000
3.900,0.000000
4.000,0.000000
4.100,0.000000
4.200,0.000000
4.300,0.000000
4.400,0.000000
4.500,0.000000
4.600,0.000000
4.700,0.000000
4.800,0.000000
4.900,0.000000
5.000,0.000000
5.100,0.000000
5.200,0.000000
5.300,0.000000
5.400,0.000000
5.500,0.000000
5.600,0.000000
5.700,0.000000
5.800,0.000000
5.900,0.000000
6.000,0.000000
6.100,0.000000
6.200,0.000000
6.300,0.000000
6.400,0.000000
6.500,0.000000
6.600,0.000000
6.700,0.000000
6.800,0.000000
6.900,0.000000
7.000,0.000000
7.100,0.000000
7.200,0.000000
7.300,0.000000
7.400,0.000000
7.500,0.000000
7.600,0.000000
7.700,0.000000
7.800,0.000000
7.900,0.000000
8.000,0.000000
8.100,0.000000
8.200,0.000000
8.300,0.000000
8.400,0.000000
8.500,0.000000
8.600,0.000000
8.700,0.000000
8.800,0.000000
8.900,0.027000
9.000,0.161857
9.100,0.308000
9.200,0.398667
9.300,0.653067
9.400,1.221000
9.500,1.771077
9.600,2.138083
9.700,2.649409
9.800,3.318765
9.900,3.808625
10.000,4.235500
10.100,4.671312
10.200,4.865200
10.300,4.879333
10.400,5.124333
10.500,5.343857
10.600,5.568333
10.700,5.730333
10.800,5.822750
10.900,5.808250
11.000,5.875750
11.100,6.083909
11.200,6.335000
11.300,6.502200
11.400,6.673286
11.500,6.788000
11.600,6.839667
11.700,6.975143
11.800,7.001500
11.900,7.083000
12.000,7.231333
12.100,7.310500
12.200,7.346000
12.300,7.376000
12.400,7.370000
12.500,7.411500
12.600,7.526167
12.700,7.541714
12.800,7.408000
12.900,7.482833
13.000,7.522000
13.100,7.474000
13.200,7.564500
13.300,7.659000
13.400,7.718000
13.500,7.708667
13.600,7.643000
13.700,7.721167
13.800,7.839333
13.900,7.933400
14.000,8.025200
14.100,8.161400
14.200,8.269000
14.300,8.283750
14.400,8.287000
14.500,8.377200
14.600,8.498750
14.700,8.430714
14.800,8.428600
14.900,8.594385
15.000,8.272000
15.100,7.855923
15.200,7.586833
15.300,7.533250
15.400,7.654833
15.500,7.708000
15.600,7.762000
15.700,7.649778
15.800,6.909059
15.900,5.765963
16.000,5.789600
16.100,6.055462
16.200,6.268500
16.300,6.211250
16.400,6.142000
16.500,6.036286
16.600,5.819182
16.700,5.472000
16.800,5.207500
16.900,5.043333
17.000,4.952000
17.100,4.940000
17.200,5.045429
17.300,5.073000
17.400,4.994000
17.500,4.970000
17.600,4.961200
17.700,4.942000
17.800,4.948200
17.900,5.001250
18.000,4.907500
18.100,4.879750
