tempo,forca
0.000,0.000000
0.100,0.000000
0.200,0.000000
0.300,0.000000
0.400,0.000000
0.500,0.000000
0.600,0.000000
0.700,0.000000
0.800,0.000000
0.900,0.000000
1.000,0.000000
1.100,0.000000
1.200,0.000000
1.300,0.000000
1.400,0.000000
1.500,0.000000
1.600,0.000000
1.700,0.000000
1.800,0.000000
1.822,0.028000
1.832,0.056000
1.840,0.084000
1.848,0.116000
1.854,0.141000
1.860,0.168000
1.866,0.199000
1.872,0.232000
1.878,0.269000
1.882,0.294000
1.886,0.320000
1.890,0.345000
1.896,0.382000
1.902,0.417000
1.908,0.449000
1.914,0.477000
1.920,0.502000
1.928,0.531000
1.936,0.559000
1.944,0.588000
1.950,0.613000
1.956,0.643000
1.962,0.678000
1.966,0.704000
1.970,0.732000
1.974,0.762000
1.978,0.793000
1.982,0.825000
1.986,0.859000
1.990,0.892000
1.994,0.927000
1.998,0.962000
2.002,0.997000
2.006,1.032000
2.010,1.068000
2.014,1.103000
2.018,1.138000
2.022,1.173000
2.026,1.207000
2.030,1.239000
2.034,1.270000
2.038,1.300000
2.042,1.328000
2.046,1.355000
2.050,1.380000
2.056,1.415000
2.062,1.448000
2.068,1.479000
2.074,1.508000
2.080,1.536000
2.086,1.565000
2.092,1.596000
2.098,1.630000
2.104,1.667000
2.108,1.695000
2.112,1.723000
2.116,1.754000
2.120,1.785000
2.124,1.817000
2.128,1.849000
2.132,1.882000
2.136,1.915000
2.140,1.946000
2.144,1.976000
2.148,2.005000
2.152,2.031000
2.158,2.065000
2.164,2.094000
2.172,2.123000
2.182,2.151000
2.192,2.182000
2.200,2.215000
2.206,2.244000
2.212,2.275000
2.218,2.306000
2.224,2.337000
2.230,2.367000
2.236,2.394000
2.242,2.419000
2.250,2.450000
2.258,2.479000
2.266,2.506000
2.274,2.535000
2.282,2.569000
2.288,2.598000
2.294,2.629000
2.300,2.662000
2.306,2.695000
2.312,2.726000
2.318,2.756000
2.324,2.784000
2.330,2.811000
2.336,2.837000
2.342,2.862000
2.350,2.893000
2.358,2.921000
2.366,2.947000
2.374,2.973000
2.382,3.000000
2.390,3.029000
2.398,3.060000
2.406,3.091000
2.414,3.121000
2.422,3.147000
2.434,3.175000
2.452,3.203000
2.464,3.232000
2.472,3.261000
2.478,3.287000
2.484,3.315000
2.490,3.345000
2.496,3.373000
2.502,3.400000
2.510,3.432000
2.518,3.459000
2.526,3.484000
2.534,3.512000
2.542,3.542000
2.548,3.567000
2.554,3.595000
2.560,3.623000
2.566,3.653000
2.572,3.680000
2.580,3.712000
2.590,3.739000
2.612,3.765000
2.628,3.794000
2.638,3.821000
2.648,3.850000
2.658,3.877000
2.670,3.907000
2.682,3.932000
2.696,3.960000
2.710,3.986000
2.728,4.011000
2.758,4.037000
2.782,4.063000
2.808,4.089000
2.876,4.116000
2.894,4.144000
2.912,4.171000
2.932,4.197000
2.948,4.226000
2.960,4.251000
2.972,4.277000
2.984,4.302000
2.998,4.328000
3.016,4.355000
3.034,4.380000
3.046,4.405000
3.056,4.431000
3.066,4.459000
3.076,4.488000
3.086,4.513000
3.100,4.541000
3.120,4.568000
3.142,4.593000
3.158,4.621000
3.170,4.646000
3.182,4.672000
3.194,4.699000
3.204,4.724000
3.214,4.750000
