tempo,forca
0.000,0.000000
0.100,0.000000
0.200,0.000000
0.300,0.000000
0.400,0.000000
0.500,0.000000
0.600,0.000000
0.700,0.000000
0.800,0.000000
0.900,0.000000
1.000,0.000000
1.100,0.000000
1.200,0.000000
1.300,0.000000
1.400,0.000000
1.500,0.000000
1.600,0.000000
1.700,0.000000
1.800,0.000000
1.900,0.000000
2.000,0.000000
2.100,0.000000
2.200,0.000000
2.300,0.000000
2.400,0.000000
2.500,0.000000
2.600,0.000000
2.700,0.000000
2.800,0.000000
2.900,0.000000
3.000,0.000000
3.100,0.000000
3.200,0.000000
3.300,0.000000
3.400,0.000000
3.500,0.000000
3.600,0.000000
3.700,0.000000
3.800,0.000000
3.900,0.000000
4.000,0.000000
4.100,0.000000
4.200,0.000000
4.300,0.000000
4.400,0.000000
4.500,0.000000
4.600,0.000000
4.700,0.000000
4.800,0.000000
4.900,0.000000
5.000,0.000000
5.100,0.000000
5.200,0.000000
5.300,0.000000
5.400,0.000000
5.500,0.000000
5.600,0.000000
5.700,0.000000
5.800,0.000000
5.900,0.000000
6.000,0.000000
6.100,0.000000
6.200,0.000000
6.300,0.000000
6.400,0.000000
6.500,0.000000
6.600,0.000000
6.700,0.000000
6.800,0.000000
6.900,0.000000
7.000,0.000000
7.100,0.000000
7.200,0.000000
7.300,0.000000
7.400,0.000000
7.500,0.000000
7.600,0.000000
7.700,0.000000
7.800,0.000000
7.900,0.000000
8.000,0.000000
8.100,0.000000
8.200,0.000000
8.300,0.000000
8.400,0.000000
8.500,0.000000
8.600,0.000000
8.700,0.000000
8.800,0.012000
8.842,0.037000
8.864,0.064000
8.890,0.089000
8.912,0.116000
8.926,0.143000
8.938,0.170000
8.950,0.196000
8.964,0.223000
8.976,0.250000
8.988,0.277000
9.000,0.306000
9.012,0.336000
9.022,0.362000
9.032,0.391000
9.040,0.417000
9.048,0.444000
9.056,0.470000
9.068,0.498000
9.092,0.523000
9.112,0.552000
9.124,0.578000
9.136,0.607000
9.152,0.632000
9.184,0.659000
9.200,0.685000
9.216,0.712000
9.234,0.738000
9.252,0.765000
9.268,0.790000
9.286,0.817000
9.318,0.788000
9.326,0.758000
9.334,0.728000
9.342,0.700000
9.354,0.674000
9.454,0.686000
9.492,0.713000
9.510,0.740000
9.532,0.765000
9.556,0.790000
9.656,0.781000
9.754,0.755000
9.794,0.730000
9.844,0.704000
9.860,0.676000
9.886,0.651000
9.954,0.624000
9.970,0.597000
9.984,0.570000
9.998,0.543000
10.012,0.514000
10.024,0.489000
10.088,0.514000
10.188,0.500000
10.204,0.526000
10.218,0.554000
10.232,0.581000
10.246,0.607000
10.262,0.635000
10.278,0.661000
10.298,0.686000
10.398,0.684000
10.420,0.710000
10.432,0.739000
10.444,0.767000
10.464,0.793000
10.554,0.820000
10.562,0.847000
10.570,0.874000
10.580,0.899000
10.634,0.925000
10.678,0.950000
10.778,0.938000
10.832,0.964000
10.886,0.935000
10.898,0.908000
10.910,0.879000
10.922,0.851000
10.936,0.824000
10.950,0.797000
10.962,0.772000
10.976,0.744000
10.994,0.719000
11.032,0.745000
11.050,0.773000
11.122,0.746000
11.142,0.721000
11.166,0.695000
11.266,0.703000
11.326,0.730000
11.336,0.759000
11.346,0.788000
11.358,0.816000
