Tempo;Tensão
(sec);
0;3,300
0,1;3,300
0,2;3,300
0,3;3,300
0,4;3,300
0,5;3,300
0,6;3,300
0,7;3,300
0,8;3,300
0,9;3,300
1;3,300
1,1;3,300
1,2;3,300
1,3;3,300
1,4;3,300
1,5;3,300
1,6;3,300
1,7;3,300
1,8;3,300
1,822;3,291
1,832;3,281
1,84;3,272
1,848;3,261
1,854;3,252
1,86;3,243
1,866;3,233
1,872;3,222
1,878;3,209
1,882;3,201
1,886;3,192
1,89;3,183
1,896;3,171
1,902;3,159
1,908;3,148
1,914;3,139
1,92;3,130
1,928;3,121
1,936;3,111
1,944;3,101
1,95;3,093
1,956;3,083
1,962;3,071
1,966;3,062
1,97;3,053
1,974;3,043
1,978;3,032
1,982;3,021
1,986;3,010
1,99;2,999
1,994;2,987
1,998;2,975
2,002;2,963
2,006;2,951
2,01;2,939
2,014;2,927
2,018;2,915
2,022;2,904
2,026;2,892
2,03;2,881
2,034;2,871
2,038;2,861
2,042;2,851
2,046;2,842
2,05;2,834
2,056;2,822
2,062;2,811
2,068;2,800
2,074;2,790
2,08;2,781
2,086;2,771
2,092;2,761
2,098;2,749
2,104;2,737
2,108;2,727
2,112;2,718
2,116;2,707
2,12;2,697
2,124;2,686
2,128;2,675
2,132;2,664
2,136;2,653
2,14;2,642
2,144;2,632
2,148;2,622
2,152;2,614
2,158;2,602
2,164;2,592
2,172;2,583
2,182;2,573
2,192;2,563
2,2;2,552
2,206;2,542
2,212;2,531
2,218;2,521
2,224;2,510
2,23;2,500
2,236;2,491
2,242;2,483
2,25;2,472
2,258;2,462
2,266;2,453
2,274;2,443
2,282;2,432
2,288;2,422
2,294;2,412
2,3;2,400
2,306;2,389
2,312;2,379
2,318;2,369
2,324;2,359
2,33;2,350
2,336;2,341
2,342;2,333
2,35;2,322
2,358;2,313
2,366;2,304
2,374;2,295
2,382;2,286
2,39;2,276
2,398;2,266
2,406;2,255
2,414;2,245
2,422;2,237
2,434;2,227
2,452;2,218
2,464;2,208
2,472;2,198
2,478;2,189
2,484;2,180
2,49;2,170
2,496;2,160
2,502;2,151
2,51;2,140
2,518;2,131
2,526;2,123
2,534;2,113
2,542;2,103
2,548;2,095
2,554;2,085
2,56;2,076
2,566;2,066
2,572;2,056
2,58;2,046
2,59;2,037
2,612;2,028
2,628;2,018
2,638;2,009
2,648;1,999
2,658;1,990
2,67;1,980
2,682;1,971
2,696;1,962
2,71;1,953
2,728;1,945
2,758;1,936
2,782;1,927
2,808;1,918
2,876;1,909
2,894;1,900
2,912;1,891
2,932;1,882
2,948;1,872
2,96;1,864
2,972;1,855
2,984;1,846
2,998;1,837
3,016;1,828
3,034;1,820
3,046;1,811
3,056;1,803
3,066;1,793
3,076;1,783
3,086;1,775
3,1;1,766
3,12;1,756
3,142;1,748
3,158;1,738
3,17;1,730
3,182;1,721
3,194;1,712
3,204;1,704
3,214;1,695
3,226;1,685
3,238;1,676
3,252;1,666
3,27;1,657
3,306;1,648
3,324;1,639
3,344;1,630
3,358;1,621
3,368;1,611
3,376;1,600
3,384;1,589
3,392;1,580
3,404;1,571
3,442;1,580
3,482;1,572
3,498;1,562
3,518;1,553
3,54;1,545
3,554;1,535
3,566;1,526
3,578;1,516
3,59;1,508
3,604;1,498
3,616;1,490
3,628;1,481
3,644;1,472
3,68;1,463
3,694;1,453
3,704;1,443
3,712;1,435
3,72;1,425
3,728;1,415
3,736;1,404
3,744;1,394
3,752;1,385
3,762;1,376
3,776;1,368
3,79;1,358
3,8;1,349
3,808;1,340
3,816;1,331
3,824;1,321
3,832;1,311
3,84;1,302
3,85;1,291
3,86;1,282
3,872;1,273
3,888;1,265
3,91;1,256
3,928;1,247
3,94;1,238
3,95;1,229
3,96;1,219
3,968;1,210
3,976;1,201
3,984;1,191
3,992;1,182
4;1,174
4,01;1,164
4,022;1,154
4,034;1,145
4,046;1,136
4,056;1,128
4,066;1,118
4,078;1,109
4,092;1,099
4,138;1,108
4,152;1,117
4,186;1,126
4,204;1,135
4,226;1,143
4,308;1,135
4,326;1,125
4,346;1,117
4,362;1,108
4,44;1,099
4,46;1,091
4,476;1,082
4,49;1,073
4,504;1,065
4,604;1,069
4,662;1,060
4,732;1,069
4,766;1,060
4,798;1,051
4,838;1,043
4,85;1,034
4,86;1,025
4,872;1,017
4,922;1,026
4,932;1,035
