tempo,tensao
0.100,0.000000
0.300,0.000000
0.400,0.000000
0.500,0.000000
0.600,0.000000
0.700,0.000000
0.800,0.000000
0.900,0.000000
1.000,0.000000
1.100,0.000000
1.300,0.000000
1.400,0.000000
1.500,0.000000
1.600,0.000000
1.800,0.000000
1.900,0.000000
2.000,0.000000
2.100,0.000000
2.300,0.000000
2.400,0.000000
2.500,0.000000
2.600,0.000000
2.800,0.000000
2.900,0.000000
3.000,0.000000
3.100,0.000000
3.200,0.000000
3.300,0.000000
3.400,0.000000
3.500,0.000000
3.700,0.000000
3.800,0.000000
3.900,0.000000
4.100,0.000000
4.200,0.000000
4.300,0.000000
4.400,0.000000
4.500,0.000000
4.600,0.000000
4.700,0.000000
4.900,0.000000
5.000,0.000000
5.100,0.000000
5.200,0.000000
5.300,0.000000
5.400,0.000000
5.500,0.000000
5.600,0.000000
5.700,0.000000
5.900,0.000000
6.000,0.000000
6.200,0.000000
6.300,0.000000
6.400,0.000000
6.500,0.000000
6.700,0.000000
6.800,0.000000
6.900,0.000000
7.000,0.000000
7.200,0.000000
7.300,0.000000
7.400,0.000000
7.500,0.000000
7.600,0.000000
7.700,0.130000
7.800,0.270000
7.900,0.687500
8.000,0.916875
8.200,1.126719
8.300,1.319180
8.400,1.434795
8.500,1.472397
8.600,1.538099
8.700,1.574525
8.800,1.618631
8.900,1.649658
9.000,1.679829
9.200,1.719957
9.300,1.747489
9.400,1.761872
9.500,1.787968
9.700,1.814492
9.800,1.836123
9.900,1.854031
10.000,1.876008
10.200,1.905751
10.300,1.917875
10.400,1.929469
10.500,1.949867
10.700,1.957467
10.800,1.964367
10.900,1.963592
11.000,1.968398
11.100,1.974199
11.200,1.973550
11.300,1.971775
11.400,1.977944
11.500,1.983972
11.700,2.000993
11.800,2.000124
11.900,2.007531
12.000,2.007531
12.100,2.009383
12.200,2.014846
12.300,2.018711
12.400,2.019678
12.500,2.022419
12.700,2.033105
12.800,2.048276
12.900,2.044569
13.000,2.051142
13.200,2.050571
13.300,2.057571
13.400,2.049393
13.500,2.027348
