tempo,tensao
0.200,0.000000
0.400,0.000000
0.700,0.000000
0.900,0.000000
1.000,0.000000
1.100,0.000000
1.300,0.000000
1.500,0.000000
1.700,0.000000
1.800,0.000000
1.900,0.000000
2.000,0.000000
2.200,0.000000
2.400,0.000000
2.500,0.000000
2.900,0.000000
3.300,0.000000
3.600,0.000000
3.700,0.000000
3.800,0.000000
3.900,0.000000
4.000,0.000000
4.100,0.000000
4.300,0.000000
4.400,0.000000
4.500,0.000000
5.200,0.000000
5.500,0.000000
5.700,0.000000
5.900,0.000000
6.000,0.000000
6.100,0.000000
6.200,0.000000
6.300,0.000000
6.400,0.000000
6.600,0.000000
6.900,0.000000
7.200,0.000000
