Deformação : Distância inicial Axial (Fonte de Deformação);"-20,000";
Dimensão : Altura da bigorna;"20,000";mm
Dimensão : Área;"304,805";mm^2
Máximo Esforço à compressiva : Carga compressivaemMáximo Esforço à compressiva;"8,286";N
Máximo Esforço à compressiva : Deformaçao compressivaemMáximo Esforço à compressiva;"1,219";%
Máximo Esforço à compressiva : EnergiaemMáximo Esforço à compressiva;"0,001";J
Máximo Esforço à compressiva : Máximo Esforço à compressiva;"0,027";MPa
Máximo Esforço à compressiva : Extensão compressivaemMáximo Esforço à compressiva;"0,244";mm
Máximo Esforço à compressiva : TempoemMáximo Esforço à compressiva;"7,31200";sec
Máximo Extensão compressiva : Carga compressivaemMáximo Extensão compressiva;"0,000";N
Máximo Extensão compressiva : Deformaçao compressivaemMáximo Extensão compressiva;"2,017";%
Máximo Extensão compressiva : EnergiaemMáximo Extensão compressiva;"0,001";J
Máximo Extensão compressiva : Máximo Extensão compressiva;"0,403";mm
Máximo Extensão compressiva : TempoemMáximo Extensão compressiva;"12,10200";sec
Módulo (Automático) : Módulo (Automático);"12,345";MPa

Tempo;Extensão;Carga;Deformaçao compressiva;Esforço à compressiva;Extensão compressiva;Carga compressiva
(sec);(mm);(N);(mm/mm);(MPa);(mm);(N)
"0,00000";"0,00000";"-0,00003";"0,000";"0,000";"0,000";"0,000"
"0,10000";"-0,00262";"0,00007";"0,000";"0,000";"0,003";"0,000"
"0,20000";"-0,00659";"0,00008";"0,000";"0,000";"0,007";"0,000"
"0,30000";"-0,01012";"0,00009";"0,001";"0,000";"0,010";"0,000"
"0,40000";"-0,01323";"0,00012";"0,001";"0,000";"0,013";"0,000"
"0,50000";"-0,01666";"0,00006";"0,001";"0,000";"0,017";"0,000"
"0,60000";"-0,02009";"0,00003";"0,001";"0,000";"0,020";"0,000"
"0,70000";"-0,02325";"0,00001";"0,001";"0,000";"0,023";"0,000"
"0,80000";"-0,02668";"-0,00002";"0,001";"0,000";"0,027";"0,000"
"0,90000";"-0,03005";"-0,00009";"0,002";"0,000";"0,030";"0,000"
"1,00000";"-0,03321";"0,00000";"0,002";"0,000";"0,033";"0,000"
"1,10000";"-0,03670";"-0,00009";"0,002";"0,000";"0,037";"0,000"
"1,20000";"-0,04002";"0,00000";"0,002";"0,000";"0,040";"0,000"
"1,30000";"-0,04329";"0,00007";"0,002";"0,000";"0,043";"0,000"
"1,40000";"-0,04666";"0,00001";"0,002";"0,000";"0,047";"0,000"
"1,50000";"-0,05004";"0,00009";"0,003";"0,000";"0,050";"0,000"
"1,60000";"-0,05330";"0,00004";"0,003";"0,000";"0,053";"0,000"
"1,70000";"-0,05668";"0,00002";"0,003";"0,000";"0,057";"0,000"
"1,80000";"-0,06000";"-0,00100";"0,003";"0,000";"0,060";"0,001"
"1,82200";"-0,06086";"-0,02829";"0,003";"0,000";"0,061";"0,028"
"1,83200";"-0,06118";"-0,05608";"0,003";"0,000";"0,061";"0,056"
"1,84000";"-0,06150";"-0,08395";"0,003";"0,000";"0,061";"0,084"
"1,84800";"-0,06177";"-0,11550";"0,003";"0,000";"0,062";"0,116"
"1,85400";"-0,06193";"-0,14096";"0,003";"0,000";"0,062";"0,141"
"1,86000";"-0,06214";"-0,16840";"0,003";"0,001";"0,062";"0,168"
"1,86600";"-0,06230";"-0,19867";"0,003";"0,001";"0,062";"0,199"
"1,87200";"-0,06246";"-0,23239";"0,003";"0,001";"0,062";"0,232"
"1,87800";"-0,06268";"-0,26862";"0,003";"0,001";"0,063";"0,269"
"1,88200";"-0,06279";"-0,29388";"0,003";"0,001";"0,063";"0,294"
"1,88600";"-0,06289";"-0,31950";"0,003";"0,001";"0,063";"0,320"
"1,89000";"-0,06300";"-0,34503";"0,003";"0,001";"0,063";"0,345"
"1,89600";"-0,06316";"-0,38225";"0,003";"0,001";"0,063";"0,382"
"1,90200";"-0,06337";"-0,41724";"0,003";"0,001";"0,063";"0,417"
"1,90800";"-0,06354";"-0,44907";"0,003";"0,001";"0,064";"0,449"
"1,91400";"-0,06375";"-0,47727";"0,003";"0,002";"0,064";"0,477"
"1,92000";"-0,06391";"-0,50228";"0,003";"0,002";"0,064";"0,502"
"1,92800";"-0,06418";"-0,53147";"0,003";"0,002";"0,064";"0,531"
"1,93600";"-0,06445";"-0,55863";"0,003";"0,002";"0,064";"0,559"
"1,94400";"-0,06471";"-0,58792";"0,003";"0,002";"0,065";"0,588"
"1,95000";"-0,06493";"-0,61344";"0,003";"0,002";"0,065";"0,613"
"1,95600";"-0,06509";"-0,64342";"0,003";"0,002";"0,065";"0,643"
"1,96200";"-0,06530";"-0,67827";"0,003";"0,002";"0,065";"0,678"
"1,96600";"-0,06546";"-0,70418";"0,003";"0,002";"0,065";"0,704"
"1,97000";"-0,06557";"-0,73207";"0,003";"0,002";"0,066";"0,732"
"1,97400";"-0,06573";"-0,76174";"0,003";"0,002";"0,066";"0,762"
"1,97800";"-0,06589";"-0,79291";"0,003";"0,003";"0,066";"0,793"
"1,98200";"-0,06600";"-0,82528";"0,003";"0,003";"0,066";"0,825"
"1,98600";"-0,06616";"-0,85852";"0,003";"0,003";"0,066";"0,859"
"1,99000";"-0,06632";"-0,89241";"0,003";"0,003";"0,066";"0,892"
"1,99400";"-0,06643";"-0,92681";"0,003";"0,003";"0,066";"0,927"
"1,99800";"-0,06659";"-0,96170";"0,003";"0,003";"0,067";"0,962"
"2,00200";"-0,06675";"-0,99697";"0,003";"0,003";"0,067";"0,997"
"2,00600";"-0,06686";"-1,03241";"0,003";"0,003";"0,067";"1,032"
"2,01000";"-0,06702";"-1,06782";"0,003";"0,004";"0,067";"1,068"
"2,01400";"-0,06712";"-1,10266";"0,003";"0,004";"0,067";"1,103"
"2,01800";"-0,06729";"-1,13818";"0,003";"0,004";"0,067";"1,138"
"2,02200";"-0,06739";"-1,17279";"0,003";"0,004";"0,067";"1,173"
"2,02600";"-0,06755";"-1,20675";"0,003";"0,004";"0,068";"1,207"
"2,03000";"-0,06766";"-1,23898";"0,003";"0,004";"0,068";"1,239"
"2,03400";"-0,06777";"-1,27012";"0,003";"0,004";"0,068";"1,270"
"2,03800";"-0,06793";"-1,29969";"0,003";"0,004";"0,068";"1,300"
"2,04200";"-0,06804";"-1,32789";"0,003";"0,004";"0,068";"1,328"
"2,04600";"-0,06820";"-1,35464";"0,003";"0,004";"0,068";"1,355"
"2,05000";"-0,06830";"-1,37989";"0,003";"0,005";"0,068";"1,380"
"2,05600";"-0,06852";"-1,41527";"0,003";"0,005";"0,069";"1,415"
"2,06200";"-0,06868";"-1,44807";"0,003";"0,005";"0,069";"1,448"
"2,06800";"-0,06889";"-1,47869";"0,003";"0,005";"0,069";"1,479"
"2,07400";"-0,06911";"-1,50757";"0,003";"0,005";"0,069";"1,508"
"2,08000";"-0,06927";"-1,53575";"0,003";"0,005";"0,069";"1,536"
"2,08600";"-0,06948";"-1,56477";"0,003";"0,005";"0,069";"1,565"
"2,09200";"-0,06970";"-1,59588";"0,003";"0,005";"0,070";"1,596"
"2,09800";"-0,06991";"-1,62985";"0,003";"0,005";"0,070";"1,630"
"2,10400";"-0,07012";"-1,66744";"0,004";"0,005";"0,070";"1,667"
"2,10800";"-0,07029";"-1,69463";"0,004";"0,006";"0,070";"1,695"
"2,11200";"-0,07045";"-1,72341";"0,004";"0,006";"0,070";"1,723"
"2,11600";"-0,07061";"-1,75351";"0,004";"0,006";"0,071";"1,754"
"2,12000";"-0,07071";"-1,78472";"0,004";"0,006";"0,071";"1,785"
"2,12400";"-0,07087";"-1,81676";"0,004";"0,006";"0,071";"1,817"
"2,12800";"-0,07104";"-1,84934";"0,004";"0,006";"0,071";"1,849"
"2,13200";"-0,07120";"-1,88210";"0,004";"0,006";"0,071";"1,882"
"2,13600";"-0,07136";"-1,91454";"0,004";"0,006";"0,071";"1,915"
"2,14000";"-0,07152";"-1,94615";"0,004";"0,006";"0,072";"1,946"
"2,14400";"-0,07162";"-1,97639";"0,004";"0,006";"0,072";"1,976"
"2,14800";"-0,07179";"-2,00478";"0,004";"0,007";"0,072";"2,005"
"2,15200";"-0,07189";"-2,03094";"0,004";"0,007";"0,072";"2,031"
"2,15800";"-0,07205";"-2,06543";"0,004";"0,007";"0,072";"2,065"
"2,16400";"-0,07227";"-2,09373";"0,004";"0,007";"0,072";"2,094"
"2,17200";"-0,07248";"-2,12282";"0,004";"0,007";"0,072";"2,123"
"2,18200";"-0,07280";"-2,15124";"0,004";"0,007";"0,073";"2,151"
"2,19200";"-0,07307";"-2,18229";"0,004";"0,007";"0,073";"2,182"
"2,20000";"-0,07329";"-2,21481";"0,004";"0,007";"0,073";"2,215"
"2,20600";"-0,07350";"-2,24368";"0,004";"0,007";"0,073";"2,244"
"2,21200";"-0,07366";"-2,27477";"0,004";"0,007";"0,074";"2,275"
"2,21800";"-0,07382";"-2,30644";"0,004";"0,008";"0,074";"2,306"
"2,22400";"-0,07404";"-2,33737";"0,004";"0,008";"0,074";"2,337"
"2,23000";"-0,07420";"-2,36675";"0,004";"0,008";"0,074";"2,367"
"2,23600";"-0,07441";"-2,39408";"0,004";"0,008";"0,074";"2,394"
"2,24200";"-0,07462";"-2,41922";"0,004";"0,008";"0,075";"2,419"
"2,25000";"-0,07489";"-2,44998";"0,004";"0,008";"0,075";"2,450"
"2,25800";"-0,07516";"-2,47855";"0,004";"0,008";"0,075";"2,479"
"2,26600";"-0,07543";"-2,50592";"0,004";"0,008";"0,075";"2,506"
"2,27400";"-0,07570";"-2,53486";"0,004";"0,008";"0,076";"2,535"
"2,28200";"-0,07602";"-2,56851";"0,004";"0,008";"0,076";"2,569"
"2,28800";"-0,07623";"-2,59758";"0,004";"0,009";"0,076";"2,598"
"2,29400";"-0,07645";"-2,62920";"0,004";"0,009";"0,076";"2,629"
"2,30000";"-0,07666";"-2,66199";"0,004";"0,009";"0,077";"2,662"
"2,30600";"-0,07687";"-2,69459";"0,004";"0,009";"0,077";"2,695"
"2,31200";"-0,07709";"-2,72609";"0,004";"0,009";"0,077";"2,726"
"2,31800";"-0,07730";"-2,75593";"0,004";"0,009";"0,077";"2,756"
"2,32400";"-0,07746";"-2,78399";"0,004";"0,009";"0,077";"2,784"
"2,33000";"-0,07768";"-2,81078";"0,004";"0,009";"0,078";"2,811"
"2,33600";"-0,07784";"-2,83674";"0,004";"0,009";"0,078";"2,837"
"2,34200";"-0,07805";"-2,86177";"0,004";"0,009";"0,078";"2,862"
"2,35000";"-0,07832";"-2,89283";"0,004";"0,009";"0,078";"2,893"
"2,35800";"-0,07859";"-2,92097";"0,004";"0,010";"0,079";"2,921"
"2,36600";"-0,07880";"-2,94708";"0,004";"0,010";"0,079";"2,947"
"2,37400";"-0,07907";"-2,97300";"0,004";"0,010";"0,079";"2,973"
"2,38200";"-0,07934";"-2,99981";"0,004";"0,010";"0,079";"3,000"
"2,39000";"-0,07961";"-3,02885";"0,004";"0,010";"0,080";"3,029"
"2,39800";"-0,07987";"-3,05968";"0,004";"0,010";"0,080";"3,060"
"2,40600";"-0,08020";"-3,09129";"0,004";"0,010";"0,080";"3,091"
"2,41400";"-0,08046";"-3,12146";"0,004";"0,010";"0,080";"3,121"
"2,42200";"-0,08079";"-3,14745";"0,004";"0,010";"0,081";"3,147"
"2,43400";"-0,08121";"-3,17520";"0,004";"0,010";"0,081";"3,175"
"2,45200";"-0,08191";"-3,20328";"0,004";"0,011";"0,082";"3,203"
"2,46400";"-0,08229";"-3,23173";"0,004";"0,011";"0,082";"3,232"
"2,47200";"-0,08255";"-3,26050";"0,004";"0,011";"0,083";"3,261"
"2,47800";"-0,08271";"-3,28659";"0,004";"0,011";"0,083";"3,287"
"2,48400";"-0,08287";"-3,31511";"0,004";"0,011";"0,083";"3,315"
"2,49000";"-0,08304";"-3,34458";"0,004";"0,011";"0,083";"3,345"
"2,49600";"-0,08320";"-3,37348";"0,004";"0,011";"0,083";"3,373"
"2,50200";"-0,08336";"-3,40043";"0,004";"0,011";"0,083";"3,400"
