tempo,tensao,forca
1.330,0.000000,0.000000
1.430,0.000000,0.000000
1.630,0.000000,0.000000
1.730,0.000000,0.000000
1.930,0.000000,0.000000
2.030,0.000000,0.000000
2.130,0.000000,0.000000
2.230,0.000000,0.000000
2.330,0.000000,0.000000
2.530,0.000000,0.000000
2.630,0.000000,0.000000
2.730,0.000000,0.000000
2.830,0.000000,0.000000
3.030,0.000000,0.000000
3.130,0.000000,0.000000
3.230,0.000000,0.000000
3.330,0.000000,0.000000
3.430,0.000000,0.000000
3.530,0.000000,0.000000
3.630,0.000000,0.000000
3.730,0.000000,0.000000
3.830,0.000000,0.000000
3.930,0.000000,0.000000
4.130,0.000000,0.000000
4.230,0.000000,0.000000
4.330,0.000000,0.000000
4.430,0.000000,0.000000
4.530,0.000000,0.000000
4.630,0.000000,0.000000
4.730,0.000000,0.000000
4.830,0.275000,0.000000
4.930,0.673750,0.005400
5.130,0.973437,0.132400
5.230,1.555859,0.272182
5.430,1.308965,0.368571
5.530,1.308965,0.312520
5.630,0.261121,0.342000
5.730,0.065280,0.387500
5.830,0.423820,0.402286
5.930,1.482978,0.208000
6.130,1.758244,0.186333
6.230,1.969561,0.206360
6.330,2.162390,0.281810
6.530,2.231195,0.388640
6.630,2.165299,0.417100
6.730,2.221325,0.423212
6.830,2.090331,0.414500
6.930,1.915083,0.455600
7.030,1.797541,0.446143
7.130,1.781885,0.420310
7.230,1.760471,0.419638
7.330,1.660236,0.379580
7.530,1.921279,0.343643
7.630,2.050320,0.340793
7.730,2.060160,0.326520
7.830,2.005040,0.345280
7.930,1.952520,0.363826
8.030,1.866260,0.397600
8.130,1.684065,0.403000
8.230,1.533516,0.393200
8.330,0.998379,0.353765
8.430,0.249595,0.312640
8.630,0.062399,0.291920
8.730,0.527800,0.288189
8.930,1.649450,0.211093
9.030,1.904725,0.183720
9.130,2.063681,0.172040
9.230,2.105920,0.198065
9.330,2.148980,0.314000
9.430,2.207245,0.427040
9.630,2.194656,0.416920
9.730,2.191164,0.407100
9.830,2.095582,0.413860
10.030,1.523895,0.416905
10.130,0.648474,0.412200
10.230,0.324237,0.411600
10.330,0.081059,0.373750
10.530,0.897632,0.277711
10.630,1.433816,0.229980
10.730,2.095477,0.213460
10.830,2.006369,0.205960
10.930,1.369092,0.226786
11.130,1.144773,0.415733
11.230,1.211193,0.418120
11.330,1.505298,0.375000
11.430,1.687649,0.308455
11.530,1.873825,0.259620
11.630,2.085956,0.253640
11.730,2.142978,0.263278
11.830,2.084122,0.306333
12.030,1.943531,0.408095
12.130,1.858383,0.426320
12.230,1.966048,0.405262
12.430,1.993024,0.345680
12.530,1.968256,0.325540
12.630,1.984564,0.333940
12.730,1.947282,0.335167
12.830,1.771820,0.363760
13.030,1.852955,0.350580
13.130,1.977869,0.334860
13.230,1.979467,0.308857
13.330,1.237367,0.313391
13.530,0.309342,0.360840
13.630,0.214835,0.356960
13.730,0.083709,0.345800
13.830,0.680927,0.308143
13.930,1.155464,0.194875
14.030,1.537732,0.186100
14.130,1.904433,0.208600
14.230,1.962216,0.188500
14.330,2.033054,0.215000
14.530,2.050764,0.380419
14.630,1.962691,0.415436
14.730,1.805673,0.397760
14.830,1.799459,0.393240
14.930,1.799459,0.393920
15.030,1.854865,0.382960
15.130,1.963716,0.343907
15.230,1.981858,0.304200
15.330,2.090465,0.304426
15.530,2.350116,0.322185
15.630,2.545029,0.355417
15.730,2.601879,0.368040
15.930,2.642970,0.524333
16.030,2.666485,0.674412
16.130,2.699121,0.696860
16.230,2.734780,0.690200
16.330,2.749348,0.698308
16.430,2.769674,0.727830
16.630,2.784918,0.785000
16.730,2.766230,0.812000
16.830,2.759057,0.784540
17.030,2.782264,0.800100
17.130,2.798066,0.776868
17.230,2.819517,0.735158
17.330,2.852379,0.703760
17.530,2.900297,0.755300
17.630,2.935074,0.787109
17.730,2.937537,0.866739
17.830,2.964384,0.933818
17.930,2.983596,0.964900
18.130,2.993399,1.066116
18.230,3.010850,1.112174
18.330,3.020425,1.152324
18.430,3.025212,1.182120
18.530,3.056303,1.191000
18.630,3.081576,1.203071
18.730,3.082894,1.258000
18.830,3.085723,1.336667
19.030,3.081431,1.508194
19.130,3.080715,1.508483
19.230,3.091339,1.462615
19.430,3.102835,1.416440
19.530,3.115709,1.397320
19.630,3.118927,1.418660
19.730,3.112232,1.446405
19.830,3.118058,1.493316
19.930,3.122014,1.543400
20.130,3.134002,1.567190
20.230,3.132001,1.546480
20.330,3.136000,1.547800
20.530,3.136500,1.597000
20.630,3.133250,1.637842
20.730,3.127906,1.679000
20.830,3.132238,1.733280
20.930,3.138060,1.719316
21.030,3.138060,1.642917
21.130,3.134515,1.594897
21.230,3.126129,1.571800
21.330,3.134032,1.597306
21.530,3.136008,1.635000
21.630,3.138004,1.592947
