tempo,tensao,forca
1.860,0.000000,0.000000
2.060,0.000000,0.000000
2.160,0.000000,0.000000
2.260,0.000000,0.000000
2.460,0.000000,0.000000
2.560,0.000000,0.000000
2.660,0.000000,0.000000
2.760,0.000000,0.000000
2.860,0.000000,0.000000
2.960,0.000000,0.000000
3.160,0.000000,0.000000
3.260,0.000000,0.000000
3.360,0.000000,0.000000
3.460,0.000000,0.000000
3.660,0.000000,0.000000
3.760,0.000000,0.000000
3.860,0.000000,0.000000
3.960,0.000000,0.000000
4.060,0.000000,0.000000
4.160,0.000000,0.000000
4.260,0.000000,0.000000
4.360,0.000000,0.000000
4.460,0.000000,0.000000
4.660,0.000000,0.000000
4.760,0.000000,0.000000
4.860,0.000000,0.000000
4.960,0.000000,0.000000
5.060,0.000000,0.000000
5.160,0.000000,0.000000
5.260,0.000000,0.000000
5.360,0.000000,0.000000
5.460,0.000000,0.000000
5.660,0.000000,0.000000
5.760,0.000000,0.000000
5.960,0.000000,0.000000
6.060,0.000000,0.000000
6.160,0.000000,0.000000
6.260,0.000000,0.000000
6.360,0.000000,0.000000
6.560,0.000000,0.000000
6.660,0.000000,0.000000
6.760,0.000000,0.000000
6.860,0.000000,0.000000
7.060,0.000000,0.000000
7.160,0.000000,0.000000
7.260,0.000000,0.000000
7.360,0.000000,0.000000
7.560,0.000000,0.000000
7.660,0.000000,0.000000
7.760,0.000000,0.000000
7.860,0.000000,0.000000
8.060,0.000000,0.000000
8.160,0.000000,0.000000
8.260,0.000000,0.000000
8.360,0.000000,0.000000
8.460,0.000000,0.000000
8.560,1.265000,0.000000
8.660,2.283750,0.000000
8.760,2.635937,0.007200
8.860,2.702969,0.059091
8.960,2.718242,0.215286
9.160,2.772061,0.638750
9.260,2.776508,0.777500
9.460,2.691627,0.690263
9.560,2.640813,0.789640
9.660,2.512703,0.779939
9.760,2.582838,0.751250
9.860,2.643209,0.676000
9.960,2.713302,0.613875
10.160,2.813326,0.503920
10.260,2.816663,0.631500
10.360,2.799166,0.684760
10.460,2.722291,0.787800
10.660,2.698073,0.939773
10.760,2.687018,0.940160
10.860,2.709255,0.948963
11.060,2.753657,0.769250
11.160,2.680914,0.701500
11.260,2.687729,0.702520
11.360,2.703864,0.817923
11.460,2.750966,0.808880
11.660,2.795242,0.723100
11.760,2.866310,0.743902
11.860,2.891578,0.782160
11.960,2.905789,0.843000
12.060,2.948947,0.845793
12.160,2.959474,0.949100
12.260,2.984868,0.944500
12.360,3.011217,0.934500
12.560,3.025609,1.137320
12.660,3.048201,1.169222
12.760,3.037050,1.247667
12.960,3.046763,1.411571
13.060,3.061691,1.432040
13.160,3.080423,1.378385
13.260,3.105106,1.391400
13.360,3.113776,1.399171
13.460,3.120944,1.463385
13.660,3.113868,1.718333
13.760,3.113467,1.765600
13.860,3.116734,1.789200
14.060,3.124183,1.675860
14.160,3.121046,1.658000
14.260,3.122761,1.661900
14.360,3.118190,1.726647
14.460,3.124548,1.755240
14.560,3.122274,1.740462
14.660,3.121137,1.735405
14.760,3.110284,1.806100
14.860,3.107571,1.788739
15.060,3.114393,1.735643
15.160,3.123598,1.694062
15.260,3.123598,1.624420
