tempo,forca
0.0,0.000000
0.1,0.000000
0.2,0.000000
0.3,0.000000
0.4,0.000000
0.5,0.000000
0.6,0.000000
0.7,0.000000
0.8,0.000000
0.9,0.000000
1.0,0.000000
1.1,0.000000
1.2,0.000000
1.3,0.000000
1.4,0.000000
1.5,0.000000
1.6,0.000000
1.7,0.000000
1.8,0.000000
1.9,0.000000
2.0,0.000000
2.1,0.000000
2.2,0.000000
2.3,0.000000
2.4,0.000000
2.5,0.000000
2.6,0.000000
2.7,0.000000
2.8,0.000000
2.9,0.000000
3.0,0.000000
3.1,0.000000
3.2,0.000000
3.3,0.000000
3.4,0.000000
3.5,0.000000
3.6,0.000000
3.7,0.000000
3.8,0.000000
3.9,0.000000
4.0,0.000000
4.1,0.000000
4.2,0.000000
4.3,0.000000
4.4,0.000000
4.5,0.000000
4.6,0.000000
4.7,0.000000
4.8,0.000000
4.9,0.000000
5.0,0.000000
5.1,0.000000
5.2,0.000000
5.3,0.000000
5.4,0.000000
5.5,0.000000
5.6,0.000000
5.7,0.000000
5.8,0.000000
5.9,0.000000
6.0,0.000000
6.1,0.000000
6.2,0.000000
6.3,0.000000
6.4,0.000000
6.5,0.000000
6.6,0.005000
6.7,0.005000
6.8,0.006000
6.9,0.008000
7.0,0.008000
7.1,0.013000
7.2,0.019000
7.3,0.022000
7.4,0.017000
7.5,0.055000
7.6,0.174429
7.7,0.509125
7.8,0.919417
7.9,1.224500
8.0,1.537167
8.1,1.820556
8.2,1.966000
8.3,2.256000
8.4,2.489200
8.5,2.809389
8.6,3.293600
8.7,3.664545
8.8,3.968500
8.9,4.228750
9.0,4.513250
9.1,4.793714
9.2,4.928750
9.3,5.061571
9.4,5.294200
9.5,5.484000
9.6,5.725923
9.7,5.947000
9.8,5.868000
9.9,5.805600
10.0,5.893750
10.1,5.932667
10.2,5.917400
10.3,6.041000
10.4,6.194000
10.5,6.155000
10.6,6.120000
10.7,6.062250
10.8,6.061500
10.9,6.212000
11.0,6.345400
11.1,6.521625
11.2,6.659500
