tempo,forca
0.000,0.000000
0.100,0.000000
0.200,0.000000
0.300,0.000000
0.400,0.000000
0.500,0.000000
0.600,0.000000
0.700,0.000000
0.800,0.000000
0.900,0.000000
1.000,0.000000
1.100,0.000000
1.200,0.000000
1.300,0.000000
1.400,0.000000
1.500,0.000000
1.600,0.000000
1.700,0.000000
1.800,0.000000
1.900,0.000000
2.000,0.000000
2.100,0.000000
2.200,0.000000
2.300,0.000000
2.400,0.000000
2.500,0.000000
2.600,0.000000
2.700,0.000000
2.800,0.000000
2.900,0.000000
3.000,0.000000
3.100,0.000000
3.200,0.000000
3.300,0.000000
3.400,0.000000
3.500,0.000000
3.600,0.000000
3.700,0.000000
3.800,0.000000
3.900,0.000000
4.000,0.000000
4.100,0.000000
4.200,0.000000
4.300,0.000000
4.400,0.000000
4.500,0.000000
4.600,0.000000
4.700,0.000000
4.800,0.000000
4.900,0.000000
5.000,0.018000
5.100,0.082750
5.200,0.217167
5.300,0.309000
5.400,0.350000
5.500,0.348000
5.600,0.330000
5.700,0.389714
5.800,0.393000
5.900,0.291429
6.000,0.220800
6.100,0.177000
6.200,0.207000
6.300,0.257667
6.400,0.334667
6.500,0.386000
6.600,0.403000
6.700,0.427000
6.800,0.402000
6.900,0.439500
7.000,0.461000
7.100,0.422000
7.200,0.434000
7.300,0.396500
7.400,0.371000
7.500,0.352000
7.600,0.352000
7.700,0.326000
7.800,0.351000
7.900,0.351500
8.000,0.390000
8.100,0.409000
8.200,0.394000
8.300,0.366000
8.400,0.314000
8.500,0.297000
8.600,0.292000
8.700,0.291000
8.800,0.265000
8.900,0.227000
9.000,0.189000
9.100,0.167000
9.200,0.188000
9.300,0.268600
9.400,0.391250
9.500,0.413000
9.600,0.420000
9.700,0.406000
9.800,0.411000
9.900,0.424000
10.000,0.430000
10.100,0.405000
10.200,0.412500
10.300,0.385000
10.400,0.332667
10.500,0.281000
10.600,0.243500
10.700,0.214000
10.800,0.205000
10.900,0.221000
11.000,0.299600
11.100,0.388500
11.200,0.427000
11.300,0.390000
11.400,0.326000
11.500,0.275000
11.600,0.255000
11.700,0.251000
11.800,0.289500
11.900,0.341000
12.000,0.392500
12.100,0.431000
12.200,0.413000
12.300,0.375000
12.400,0.347000
12.500,0.325000
12.600,0.334000
12.700,0.333000
12.800,0.359000
12.900,0.373000
13.000,0.355000
13.100,0.342000
13.200,0.321000
13.300,0.296000
13.400,0.333500
13.500,0.360000
13.600,0.362000
13.700,0.350000
13.800,0.312333
13.900,0.218250
14.000,0.187000
14.100,0.211000
14.200,0.186000
14.300,0.211000
14.400,0.263667
14.500,0.341333
14.600,0.405500
14.700,0.396000
14.800,0.393000
14.900,0.394000
15.000,0.382000
15.100,0.356000
15.200,0.317500
15.300,0.300000
15.400,0.326000
15.500,0.312000
15.600,0.337000
15.700,0.363000
15.800,0.383000
15.900,0.488000
16.000,0.626000
16.100,0.692000
16.200,0.701000
16.300,0.681000
16.400,0.719500
16.500,0.758000
16.600,0.785000
16.700,0.798500
16.800,0.785000
16.900,0.784000
17.000,0.807000
17.100,0.792000
17.200,0.754500
17.300,0.716000
17.400,0.712500
17.500,0.740000
17.600,0.779500
17.700,0.844667
17.800,0.909000
17.900,0.948000
18.000,1.000333
18.100,1.051000
