tempo,tensao
0.100,3.300000
0.200,3.300000
0.400,3.300000
0.500,3.300000
0.600,3.300000
0.700,3.300000
0.800,3.300000
0.900,3.300000
1.000,2.565000
1.100,2.681250
1.200,1.577813
1.400,0.536953
1.500,0.329619
1.600,0.347405
1.800,0.371851
1.900,0.315463
2.000,0.297731
2.100,0.319433
2.200,0.289858
2.400,0.247465
2.500,0.313433
2.600,2.493358
2.700,2.896679
2.900,1.689585
3.000,0.579896
3.100,0.277474
3.200,0.223737
3.400,0.352967
3.500,0.256484
3.600,1.756621
3.700,2.914155
3.900,3.193539
4.000,3.273385
4.100,3.293346
4.200,3.298337
4.300,3.299168
4.400,3.287292
4.500,3.293646
4.600,3.298412
4.700,3.124603
4.900,1.153651
5.000,1.993413
5.100,0.633353
5.200,0.416677
5.300,0.408338
5.400,0.312085
5.500,0.163021
5.600,0.133255
5.700,0.121628
5.900,0.105407
6.000,0.120676
6.100,0.122669
6.200,0.120667
6.400,0.120167
6.500,0.170042
6.600,0.252510
6.700,0.470628
6.900,0.717578
7.000,0.928789
7.100,1.244395
7.200,1.033599
7.400,0.860900
7.500,1.677612
7.600,2.034403
7.700,1.383601
