tempo,tensao
0.100,0.000000
0.200,0.000000
0.400,0.000000
0.500,0.000000
0.600,0.000000
0.800,0.000000
0.900,0.000000
1.000,0.000000
1.100,0.000000
1.200,0.000000
1.400,0.935000
1.500,2.016250
1.600,2.484531
1.800,2.521133
1.900,2.517783
2.000,2.486946
2.100,2.488473
2.300,2.482118
2.400,2.420265
2.500,2.315066
2.600,1.871267
2.800,1.630633
2.900,0.920158
3.000,0.280040
3.100,0.035005
3.200,0.008751
3.300,0.008751
3.400,0.004376
3.500,0.001094
3.600,0.000273
3.700,0.000068
3.900,0.000017
4.000,0.000004
4.100,0.000001
4.200,0.000001
4.300,0.000000
4.400,0.000000
4.500,0.000000
4.600,0.000000
