tempo,tensao
0.100,0.000000
0.300,0.000000
0.400,0.000000
0.500,0.000000
0.700,0.000000
0.800,0.000000
0.900,0.000000
1.000,0.000000
1.100,0.000000
1.200,0.000000
1.400,0.000000
1.500,0.000000
1.600,0.000000
1.700,0.000000
1.900,0.000000
2.000,0.000000
2.100,0.000000
2.200,0.000000
2.300,0.000000
2.400,0.000000
2.500,0.000000
2.600,0.000000
2.700,0.000000
2.900,0.000000
3.000,0.000000
3.100,0.000000
3.200,0.000000
3.300,0.000000
3.400,0.000000
3.500,0.000000
3.600,0.000000
3.700,0.000000
3.900,0.000000
4.000,0.000000
4.200,0.000000
4.300,0.000000
4.400,0.000000
4.500,0.000000
4.600,0.000000
4.800,0.000000
4.900,0.000000
5.000,0.000000
5.100,0.000000
5.300,0.000000
5.400,0.000000
5.500,0.000000
5.600,0.000000
5.800,0.000000
5.900,0.000000
6.000,0.000000
6.100,0.000000
6.300,0.000000
6.400,0.000000
6.500,0.000000
6.600,0.000000
6.700,0.000000
6.800,1.265000
6.900,2.283750
7.000,2.635937
7.100,2.702969
7.200,2.718242
7.400,2.772061
7.500,2.776508
7.700,2.691627
7.800,2.640813
7.900,2.512703
8.000,2.582838
8.100,2.643209
8.200,2.713302
8.400,2.813326
8.500,2.816663
8.600,2.799166
8.700,2.722291
8.900,2.698073
9.000,2.687018
9.100,2.709255
9.300,2.753657
9.400,2.680914
9.500,2.687729
9.600,2.703864
9.700,2.750966
9.900,2.795242
10.000,2.866310
10.100,2.891578
10.200,2.905789
10.300,2.948947
10.400,2.959474
10.500,2.984868
10.600,3.011217
10.800,3.025609
10.900,3.048201
11.000,3.037050
11.200,3.046763
11.300,3.061691
11.400,3.080423
11.500,3.105106
11.600,3.113776
11.700,3.120944
11.900,3.113868
12.000,3.113467
12.100,3.116734
12.300,3.124183
12.400,3.121046
12.500,3.122761
12.600,3.118190
12.700,3.124548
12.800,3.122274
12.900,3.121137
13.000,3.110284
13.100,3.107571
13.300,3.114393
13.400,3.123598
13.500,3.123598
13.600,3.142950
13.700,3.151475
